17,1,1,2012-11-01,264.07,831.8421,1,S
17,1,2,2012-11-01,250,787.52045,1,S
17,1,3,2012-11-01,250,787.520451610202,1,S
17,1,4,2012-11-01,250,787.520451610202,1,S
17,1,5,2012-11-01,250,787.520451610202,1,S
17,1,6,2012-11-01,250,787.520451610202,1,S
17,1,7,2012-11-01,250,787.520451610202,1,S
17,1,8,2012-11-01,250,787.520451610202,1,S
17,1,9,2012-11-01,250,787.520451610202,1,S
17,1,10,2012-11-01,250,787.520451610202,1,S
17,1,11,2012-11-01,250,787.520451610202,0,S
17,1,12,2012-11-01,250,787.520451610202,1,S
17,1,13,2012-11-01,250,787.520451610202,0,S
17,1,14,2012-11-01,250,787.520451610202,0,S
17,1,15,2012-11-01,250,787.520451610202,0,S
17,1,16,2012-11-01,250,787.520451610202,0,S
17,1,17,2012-11-01,250,787.520451610202,1,S
17,1,18,2012-11-01,250,787.520451610202,1,S
17,1,19,2012-11-01,250,787.520451610202,1,S
17,1,20,2012-11-01,264.07,831.842102626824,1,S
17,1,21,2012-11-01,250,787.520451610202,1,S
17,1,22,2012-11-01,250,787.52045,1,S
17,2,1,2012-11-01,292.96,922.847966014899,1,S
17,2,2,2012-11-01,202.05,636.474028991365,1,S
17,2,3,2012-11-01,201.05,633.323947184924,1,S
17,2,4,2012-11-01,288.02,907.286561891081,1,S
17,3,1,2012-11-01,298.07,938.944884045812,1,S
17,3,2,2012-11-01,200,630.016361288162,1,S
17,3,3,2012-11-01,200,630.016361288162,1,S
17,3,4,2012-11-01,200,630.016361288162,1,S
17,3,5,2012-11-01,244.77,771.045523762517,1,S
17,3,6,2012-11-01,242.4,763.579829881252,1,S
17,3,7,2012-11-01,200,630.016361288162,1,S
17,3,8,2012-11-01,200,630.016361288162,1,S
17,3,9,2012-11-01,200,630.016361288162,1,S
17,3,10,2012-11-01,298.07,938.944884045812,1,S
17,4,1,2012-11-01,298.07,938.944884045812,1,S
17,4,2,2012-11-01,200,630.016361288162,1,S
17,4,3,2012-11-01,200,630.016361288162,1,S
17,4,4,2012-11-01,200,630.016361288162,1,S
17,4,5,2012-11-01,238.61,751.641019834841,1,S
17,5,1,2012-11-01,258.06,812.910110970115,1,S
17,5,2,2012-11-01,200,630.016361288162,1,S
17,5,3,2012-11-01,200,630.016361288162,1,S
17,5,4,2012-11-01,200,630.016361288162,1,S
17,5,5,2012-11-01,200,630.016361288162,1,S
