17,6,7,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,8,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,9,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,10,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,11,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,12,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,13,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,14,01/11/2012,"R$ 248,07000","R$ 781,44079",,Sim
17,6,15,01/11/2012,"R$ 248,07000","R$ 781,44079",,Sim
17,6,16,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,17,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,18,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,19,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,20,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,21,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,22,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,23,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,24,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,25,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,26,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,27,01/11/2012,"R$ 200,00000","R$ 630,01636",,Sim
17,6,28,01/11/2012,"R$ 258,06000","R$ 812,91011",,Sim
17,7,1,01/11/2012,"R$ 355,90000","R$ 1.121,11411",,Sim
17,7,2,01/11/2012,"R$ 205,09000","R$ 646,05028",,Sim
17,7,3,01/11/2012,"R$ 205,69000","R$ 647,94033",,Sim
17,7,4,01/11/2012,"R$ 206,30000","R$ 649,86188",,Sim
17,7,5,01/11/2012,"R$ 206,91000","R$ 651,78343",,Sim
17,7,6,01/11/2012,"R$ 207,52000","R$ 653,70498",,Sim
17,7,7,01/11/2012,"R$ 208,12000","R$ 655,59503",,Sim
17,7,8,01/11/2012,"R$ 208,73000","R$ 657,51658",,Sim
17,7,9,01/11/2012,"R$ 209,34000","R$ 659,43813",,Sim
17,7,10,01/11/2012,"R$ 209,95000","R$ 661,35968",,Sim
17,7,11,01/11/2012,"R$ 210,55000","R$ 663,24972",,Sim
17,7,12,01/11/2012,"R$ 211,16000","R$ 665,17127",,Sim
17,7,13,01/11/2012,"R$ 211,77000","R$ 667,09282",,Sim
17,7,14,01/11/2012,"R$ 212,38000","R$ 669,01437",,Sim
17,7,15,01/11/2012,"R$ 212,98000","R$ 670,90442",,Sim
